都道府県,駅,lon,lat
chiba,おゆみ野,140.166264,35.550029
chiba,お花茶屋,139.83988,35.747585
chiba,くぬぎ山,139.975707,35.782343
chiba,ちはら台,140.17029,35.534017
chiba,つくば,140.110604,36.0825
chiba,ひたち野うしく,140.158408,36.007996
chiba,みつわ台,140.134873,35.6387
chiba,みどりの,140.056276,36.03025
chiba,みどり台,140.097413,35.624994
chiba,みのり台,139.929466,35.789346
chiba,みらい平,140.038555,35.99514
chiba,スポーツセンター,140.11611,35.643164
chiba,ユーカリが丘,140.15668649999998,35.722024000000005
chiba,一之江,139.882934,35.686055
chiba,七光台,139.852906,35.970884
chiba,七里,139.665948,35.936464
chiba,万博記念公園,140.059256,36.05841
chiba,三咲,140.028514,35.749217
chiba,三河島,139.777131,35.733383
chiba,三郷,139.886341,35.845004
chiba,三郷中央,139.878344,35.824514
chiba,三門,140.391567,35.282377
chiba,三鷹,139.560325,35.702683
chiba,上本郷,139.916031,35.789524
chiba,上総一ノ宮,140.365138,35.373401
chiba,上総三又,140.12672,35.46592
chiba,上総中野,140.199571,35.250051
chiba,上総久保,140.154438,35.367481
chiba,上総亀山,140.089479,35.233153
chiba,上総大久保,140.145924,35.283367
chiba,上総山田,140.126128,35.454105
chiba,上総川間,140.150968,35.388047
chiba,上総村上,140.100355,35.496171
chiba,上総松丘,140.064046,35.258226
chiba,上総清川,139.965612,35.390981
chiba,上総湊,139.871016,35.221855
chiba,上総牛久,140.142255,35.400213
chiba,上総興津,140.250487,35.137146
chiba,上総鶴舞,140.165006,35.381346
chiba,上野,139.77706275,35.713213
chiba,下総中山,139.943092,35.714276
chiba,下総松崎,140.27749,35.807806
chiba,下総橘,140.702273,35.818673
chiba,下総神崎,140.410657,35.8948
chiba,下総豊里,140.721011,35.792899
chiba,下郡,140.055372,35.355018
chiba,両国,139.7953775,35.6963355
chiba,中学校,140.14841,35.740123
chiba,中野,139.665835,35.705765
chiba,久住,140.338929,35.832232
chiba,久留里,140.075613,35.295812
chiba,九段下,139.751948,35.695589
chiba,九重,139.911383,34.99752
chiba,亀戸,139.8265265,35.697526499999995
chiba,亀有,139.847573,35.766527
chiba,二俣新町,139.959525,35.691273
chiba,二和向台,140.023731,35.753825
chiba,五井,140.089522,35.512985
chiba,五香,139.965796,35.797281
chiba,井野,140.148497,35.732605
chiba,京成上野,139.773571,35.711232
chiba,京成中山,139.944203,35.716998
chiba,京成佐倉,140.229633,35.725205
chiba,京成八幡,139.92816,35.723811
chiba,京成千葉,140.114273,35.6116
chiba,京成大久保,140.048629,35.686016
chiba,京成大和田,140.108578,35.712309
chiba,京成小岩,139.88371,35.742158
chiba,京成幕張,140.05591,35.66078
chiba,京成幕張本郷,140.042091,35.672551
chiba,京成成田,140.315473,35.776308
chiba,京成津田沼,140.024823,35.68364
chiba,京成稲毛,140.085505,35.637783
chiba,京成臼井,140.180796,35.730017
chiba,京成船橋,139.985451,35.700161
chiba,京成西船,139.958863,35.711627
chiba,京成酒々井,140.270132,35.736867
chiba,京成関屋,139.81183,35.744008
chiba,京成高砂,139.866875,35.750932
chiba,代々木,139.70191666666668,35.68311333333333
chiba,仲ノ町,,
chiba,住吉,139.815681,35.689073
chiba,佐倉,140.226722,35.709743
chiba,佐原,140.494074,35.894522
chiba,佐和,,
chiba,佐貫町,139.876106,35.260113
chiba,作草部,140.115314,35.625806
chiba,保田,139.838114,35.14148
chiba,信濃町,139.720729,35.680031
chiba,俵田,140.061386,35.314495
chiba,倉橋,140.714018,35.737836
chiba,偕楽園,,
chiba,元山,139.975831,35.790229
chiba,光風台,140.114174,35.439662
chiba,八丁堀,139.7773435,35.674734
chiba,八千代中央,140.103713,35.727807
chiba,八千代台,140.090942,35.701465
chiba,八千代緑が丘,140.073461,35.728884
chiba,八幡宿,140.120072,35.536189
chiba,八日市場,140.552419,35.699317
chiba,八木崎,139.741785,35.978376
chiba,八柱,139.937362,35.791394
chiba,八潮,139.845017,35.807905
chiba,八積,140.345367,35.403971
chiba,八街,140.317304,35.663228
chiba,公園,140.153755,35.730758
chiba,公津の杜,140.294904,35.760446
chiba,六実,139.999195,35.793715
chiba,六町,139.821816,35.784963
chiba,内原,,
chiba,初富,140.000493,35.771992
chiba,初石,139.917861,35.883783
chiba,前原,140.027542,35.700666
chiba,動物公園,140.125437,35.642585
chiba,勝浦,140.312142,35.152722
chiba,勝田,,
chiba,勝田台,140.126053,35.715445
chiba,北初富,139.989811,35.776692
chiba,北千住,139.804816,35.749378
chiba,北国分,139.914252,35.762916
chiba,北大宮,139.624726,35.91716
chiba,北小金,139.931303,35.833436
chiba,北府中,139.471792,35.68088
chiba,北朝霞,139.587322,35.815475
chiba,北松戸,139.911528,35.800459
chiba,北柏,139.988035,35.875623
chiba,北習志野,140.0422775,35.721501
chiba,十二橋,140.545707,35.916984
chiba,十王,,
chiba,千住大橋,139.796934,35.74243
chiba,千倉,139.954738,34.976704
chiba,千城台,140.18856,35.622314
chiba,千城台北,140.181972,35.627436
chiba,千歳,139.966378,34.991701
chiba,千葉,140.11320814285713,35.61304185714285
chiba,千葉みなと,140.1028,35.60698466666667
chiba,千葉ニュータウン中央,140.116159,35.800175
chiba,千葉中央,140.117809,35.607354
chiba,千葉公園,140.117944,35.619774
chiba,千葉寺,140.132236,35.590311
chiba,千駄ケ谷,139.711644,35.681231
chiba,南三原,139.979204,35.021065
chiba,南中郷,,
chiba,南千住,139.799152,35.73328133333333
chiba,南柏,139.954111,35.844655
chiba,南桜井,139.807988,35.980441
chiba,南流山,139.903568,35.8383625
chiba,南浦和,139.669125,35.847648
chiba,南砂町,139.83065,35.668796
chiba,南船橋,139.995773,35.681804
chiba,南行徳,139.902311,35.672687
chiba,南越谷,139.790499,35.876106
chiba,南酒々井,140.267828,35.704217
chiba,印旛日本医大,140.203112,35.787512
chiba,印西牧の原,140.166911,35.803608
chiba,原木中山,139.942029,35.703517
chiba,友部,,
chiba,取手,140.063004,35.89553
chiba,吉川,139.843162,35.87662
chiba,吉川美南,139.858167,35.868056
chiba,吉祥寺,139.5798732,35.7029534
chiba,君ヶ浜,,
chiba,君津,139.895697,35.333619
chiba,和田浦,140.019569,35.041885
chiba,品川,139.7388475,35.62868066666667
chiba,四ツ谷,139.7302858,35.6857482
chiba,四街道,140.165023,35.662756
chiba,国府台,139.90322,35.736301
chiba,土気,140.269783,35.530866
chiba,土浦,140.206238,36.078644
chiba,地区センター,140.155041,35.726225
chiba,堀切菖蒲園,139.827545,35.747649
chiba,塚田,139.982859,35.722102
chiba,増尾,139.976604,35.829704
chiba,外川,,
chiba,大久保,139.69732,35.700784
chiba,大佐倉,140.25079,35.729908
chiba,大原,140.390864,35.251097
chiba,大和田,139.65051,35.929359
chiba,大宮,139.62392755555555,35.906686888888885
chiba,大宮公園,139.632903,35.92374
chiba,大島,139.83565,35.689905
chiba,大戸,140.457828,35.890004
chiba,大手町,139.76455019999997,35.685847
chiba,大森台,140.149398,35.584126
chiba,大津港,,
chiba,大甕,,
chiba,大町,139.973567,35.775103
chiba,大神宮下,139.991431,35.693945
chiba,大網,140.311111,35.522427
chiba,大貫,139.855541,35.291661
chiba,天台,140.112902,35.631447
chiba,天王台,140.04121,35.872558
chiba,太東,140.381184,35.319942
chiba,太海,140.096229,35.081435
chiba,女子大,140.155054,35.738357
chiba,妙典,139.924209,35.690935
chiba,姉ケ崎,140.041749,35.4786
chiba,学園前,140.158416,35.560364
chiba,守谷,139.992209,35.950626
chiba,安房勝山,139.83339,35.114022
chiba,安房天津,140.154487,35.125473
chiba,安房小湊,140.190337,35.128597
chiba,安房鴨川,140.103566,35.107465
chiba,安食,140.242051,35.835682
chiba,宗吾参道,140.280975,35.752669
chiba,実籾,140.068289,35.686852
chiba,富浦,139.837811,35.04614
chiba,小倉台,140.171873,35.627755
chiba,小室,140.076073,35.787004
chiba,小岩,139.881755,35.733207
chiba,小川町,139.42916366666668,35.937705333333334
chiba,小木津,,
chiba,小林,140.193028,35.830783
chiba,小櫃,140.059794,35.328252
chiba,小見川,140.604587,35.849971
chiba,小金城趾,139.916887,35.83601
chiba,岩井,139.849839,35.093062
chiba,岩本町,139.775866,35.695534
chiba,岩槻,139.693197,35.950239
chiba,岩間,,
chiba,巌根,139.933229,35.414285
chiba,川間,139.83385,35.979172
chiba,市ケ谷,139.736074,35.691787
chiba,市川,139.908142,35.728903
chiba,市川塩浜,139.923684,35.666554
chiba,市川大野,139.951227,35.755432
chiba,市川真間,139.911717,35.73121
chiba,市役所前,140.107757,35.606878
chiba,布佐,140.13293,35.849371
chiba,常盤平,139.949522,35.803191
chiba,常陸多賀,,
chiba,幕張,140.057899,35.6594
chiba,幕張本郷,140.042241,35.672664
chiba,幕張豊砂,140.0272,35.6579
chiba,干潟,140.603304,35.718308
chiba,平井,139.842181,35.70643
chiba,平和台,139.73621066666666,35.788985333333336
chiba,平山,140.064682,35.274312
chiba,幸谷,139.919912,35.826642
chiba,府中本町,139.477142,35.665766
chiba,延方,140.58875,35.958072
chiba,御宿,140.35197,35.188028
chiba,御茶ノ水,139.76462066666667,35.699941333333335
chiba,志津,140.144982,35.717406
chiba,愛宕,139.864817,35.950154
chiba,成東,140.410109,35.608513
chiba,成田,140.313853,35.777796
chiba,成田湯川,140.291596,35.799115
chiba,成田空港,,
chiba,我孫子,140.010466,35.87279
chiba,新三河島,139.773834,35.73714
chiba,新三郷,139.869341,35.858667
chiba,新八柱,139.938393,35.792013
chiba,新千葉,140.108557,35.612455
chiba,新宿,139.70006215384618,35.68993538461538
chiba,新宿三丁目,139.70533133333333,35.690772
chiba,新小岩,139.857777,35.716903
chiba,新小平,139.470745,35.73128
chiba,新座,139.556328,35.80381
chiba,新御徒町,139.781958,35.707045
chiba,新日本橋,139.77323,35.688687
chiba,新木,140.107048,35.862352
chiba,新木場,139.82701933333334,35.64605866666667
chiba,新松戸,139.921076,35.825467
chiba,新柏,139.966994,35.838128
chiba,新柴又,139.879376,35.75101
chiba,新検見川,140.073025,35.65169
chiba,新橋,139.7588392857143,35.66618485714286
chiba,新津田沼,140.023745,35.690184
chiba,新浦安,139.912553,35.649526
chiba,新秋津,139.493592,35.778331
chiba,新習志野,140.012825,35.667342
chiba,新船橋,139.979765,35.710993
chiba,新茂原,140.29983,35.449477
chiba,新鎌ケ谷,,
chiba,日向,140.362447,35.628402
chiba,日暮里,139.771287,35.727908
chiba,日本橋,139.77425100000002,35.681948
chiba,日立,,
chiba,早稲田,139.7201235,35.708785500000005
chiba,旭,140.655041,35.721831
chiba,春日部,139.752345,35.980095
chiba,曙橋,139.722881,35.692402
chiba,月崎,140.139394,35.302203
chiba,木下,140.147954,35.838817
chiba,木場,139.807042,35.669351
chiba,木更津,139.92611,35.381668
chiba,本八幡,139.927019,35.7219135
chiba,本千葉,140.120987,35.601202
chiba,本納,140.30758,35.48227
chiba,本銚子,,
chiba,村上,140.118375,35.72371
chiba,東中山,139.952683,35.714385
chiba,東中野,139.68371150000002,35.70671
chiba,東京,139.76598675,35.68142116666667
chiba,東千葉,140.122261,35.617014
chiba,東大島,139.845963,35.690355
chiba,東岩槻,139.712192,35.963273
chiba,東川口,139.7440335,35.875728499999994
chiba,東成田,140.387225,35.770091
chiba,東我孫子,140.047754,35.868945
chiba,東所沢,139.513878,35.79461
chiba,東松戸,139.943254,35.770173
chiba,東横田,140.035995,35.386185
chiba,東浦和,139.704627,35.864079
chiba,東浪見,140.376706,35.34669
chiba,東海,,
chiba,東海神,139.980343,35.705888
chiba,東清川,139.985847,35.390017
chiba,東船橋,140.00393,35.699811
chiba,東葉勝田台,140.126075,35.715458
chiba,東金,140.363743,35.560172
chiba,東陽町,139.817596,35.669629
chiba,松尾,140.457587,35.63604
chiba,松岸,140.795143,35.739386
chiba,松戸,139.900779,35.784472
chiba,松戸新田,139.922833,35.790652
chiba,松飛台,139.957739,35.775377
chiba,柏,139.971148,35.862316
chiba,柏たなか,139.957533,35.9109
chiba,柏の葉キャンパス,139.952454,35.89308
chiba,栄町,139.930358,35.6818655
chiba,桜木,140.160935,35.631308
chiba,梅郷,139.891086,35.931575
chiba,森下,139.797042,35.68796
chiba,椎柴,140.758875,35.765204
chiba,検見川,140.066656,35.652512
chiba,検見川浜,140.058888,35.637291
chiba,榎戸,140.288136,35.683967
chiba,横田,140.020138,35.386207
chiba,横芝,140.490736,35.661739
chiba,武蔵浦和,139.6473915,35.8457345
chiba,水戸,,
chiba,水道橋,139.75473599999998,35.7027185
chiba,水郷,140.570181,35.885508
chiba,永田,139.785339,35.8192215
chiba,求名,140.39626,35.579947
chiba,江戸川,139.896226,35.737723
chiba,江戸川台,139.91045,35.897344
chiba,江見,140.061026,35.062513
chiba,津田沼,140.020179,35.691367
chiba,流山,139.901766,35.855771
chiba,流山おおたかの森,139.92547100000002,35.871925000000005
chiba,流山セントラルパーク,139.915223,35.854552
chiba,浅草,139.79629125,35.7114735
chiba,浅草橋,139.785366,35.697427000000005
chiba,浜町,139.788154,35.688516
chiba,浜野,140.132089,35.551876
chiba,浜金谷,139.822141,35.168215
chiba,浦安,139.893193,35.665932
chiba,浪花,140.379428,35.222674
chiba,海士有木,140.124264,35.481729
chiba,海浜幕張,140.041917,35.648373
chiba,海神,139.971888,35.705888
chiba,海鹿島,,
chiba,清水公園,139.85967,35.959364
chiba,湖北,140.077959,35.867165
chiba,滑河,140.347871,35.877079
chiba,滝不動,140.02622,35.737957
chiba,潮来,140.549473,35.936904
chiba,潮見,139.817341,35.658702
chiba,牛久,140.141039,35.975314
chiba,物井,140.200263,35.68566
chiba,犬吠,,
chiba,猿田,140.7374,35.747383
chiba,瑞江,139.89761,35.693318
chiba,町屋,139.781,35.7425435
chiba,白井,140.0541,35.784723
chiba,県庁前,140.12222,35.603958
chiba,矢切,139.899742,35.757503
chiba,石岡,140.279709,36.191554
chiba,研究学園,140.082256,36.0821
chiba,磯原,,
chiba,祇園,139.948111,35.391528
chiba,神保町,139.75777733333334,35.695808
chiba,神楽坂,139.734546,35.70379
chiba,神立,140.248615,36.120424
chiba,福俵,140.341904,35.54617
chiba,秋山,139.930723,35.765299
chiba,秋葉原,139.7739192,35.6985816
chiba,稲毛,140.09256,35.637264
chiba,稲毛海岸,140.074034,35.629501
chiba,穴川,140.111849,35.639645
chiba,空港第２ビル,,
chiba,竹岡,139.830159,35.197582
chiba,竹橋,139.756817,35.690662
chiba,笠上黒生,,
chiba,笹川,140.655716,35.839753
chiba,篠崎,139.903698,35.706017
chiba,綾瀬,139.825019,35.762222
chiba,羽鳥,140.28679,36.247661
chiba,習志野,140.042787,35.715293
chiba,舞浜,139.883714,35.636115
chiba,船堀,139.864258,35.683795
chiba,船橋,139.98459133333333,35.70194333333333
chiba,船橋日大前,140.058962,35.726931
chiba,船橋法典,139.966771,35.730435
chiba,船橋競馬場,139.997998,35.689606
chiba,芝山千代田,140.399215,35.754248
chiba,茂原,140.304121,35.426733
chiba,茅場町,139.780005,35.679752
chiba,荒川沖,140.16592,36.030552
chiba,荻窪,139.62011133333334,35.70445
chiba,菅野,139.919413,35.728272
chiba,菊川,139.806016,35.688379
chiba,落合,139.687284,35.710976
chiba,葛西,139.872458,35.663554
chiba,葛西臨海公園,139.861529,35.644392
chiba,葭川公園,140.120142,35.608551
chiba,薬園台,140.037599,35.710271
chiba,藤の牛島,139.778038,35.98026
chiba,藤代,140.118251,35.920565
chiba,蘇我,140.130767,35.582065
chiba,行川アイランド,140.226962,35.11832
chiba,行徳,139.914254,35.682686
chiba,袖ケ浦,139.95788,35.431997
chiba,西千葉,140.103337,35.622639
chiba,西国分寺,139.465994,35.699744
chiba,西大島,139.826206,35.689349
chiba,西浦和,139.627707,35.844139
chiba,西海鹿島,,
chiba,西登戸,140.102801,35.617615
chiba,西白井,140.031545,35.784364
chiba,西船橋,139.9593104,35.7072206
chiba,西荻窪,139.599361,35.703842
chiba,西葛西,139.859259,35.664631
chiba,観音,,
chiba,誉田,140.213748,35.546996
chiba,谷津,140.007658,35.685257
chiba,豊四季,139.93929,35.86657
chiba,豊春,139.72601,35.968014
chiba,赤塚,,
chiba,越中島,139.792713,35.667946
chiba,越谷レイクタウン,139.822178,35.876353
chiba,逆井,139.983812,35.823336
chiba,運河,139.906063,35.914392
chiba,那古船形,139.851388,35.028987
chiba,都賀,140.148979,35.6357895
chiba,酒々井,140.275271,35.731737
chiba,里見,140.145505,35.336685
chiba,野田市,139.870728,35.943652
chiba,金町,139.870482,35.769582
chiba,銚子,,
chiba,錦糸町,139.81440433333333,35.697060666666665
chiba,鎌ケ谷,,
chiba,鎌ヶ谷大仏,140.013823,35.757827
chiba,鎌取,140.178583,35.562795
chiba,長浦,139.995478,35.450234
chiba,長者町,140.385021,35.295839
chiba,門前仲町,139.796209,35.671851
chiba,阿佐ケ谷,139.635868,35.704818
chiba,青井,139.82038,35.771782
chiba,青堀,139.858189,35.330304
chiba,青砥,139.856292,35.745883
chiba,飯倉,140.522328,35.685638
chiba,飯山満,140.0223,35.71407
chiba,飯岡,140.683896,35.729339
chiba,飯田橋,139.7446932,35.702071000000004
chiba,飯給,140.142358,35.320512
chiba,養老溪谷,,
chiba,館山,139.861888,34.9959
chiba,香取,140.532367,35.897856
chiba,馬喰横山,139.782768,35.69212
chiba,馬喰町,139.78238,35.693365
chiba,馬来田,140.058485,35.36681
chiba,馬橋,139.9171735,35.811815499999994
chiba,馬立,140.114719,35.423795
chiba,馬込沢,139.992199,35.741586
chiba,高円寺,139.649664,35.705326
chiba,高柳,139.998936,35.808211
chiba,高根公団,140.029382,35.730436
chiba,高根木戸,140.034923,35.726625
chiba,高浜,140.294745,36.163882
chiba,高滝,140.150246,35.353074
chiba,高田馬場,139.70405833333334,35.71289733333333
chiba,高萩,,
chiba,鬼越,139.937932,35.719776
chiba,鰭ヶ崎,139.911121,35.840948
chiba,鵜原,140.278446,35.140828
chiba,鹿島サッカースタジアム,,
chiba,鹿島神宮,140.625676,35.970614
chiba,龍ケ崎市,140.138217,35.930066
kanagawa,あざみ野,139.55357800000002,35.5683605
kanagawa,いずみ中央,139.48727,35.415385
kanagawa,いずみ野,139.495135,35.429434
kanagawa,かしわ台,139.415851,35.466744
kanagawa,こどもの国,139.486657,35.558035
kanagawa,さがみ野,139.429055,35.471485
kanagawa,すずかけ台,139.481684,35.517094
kanagawa,たまプラーザ,139.558447,35.577427
kanagawa,つきみ野,139.458651,35.510546
kanagawa,つくし野,139.485139,35.527559
kanagawa,はるひ野,139.464534,35.618885
kanagawa,みなとみらい,139.632386,35.458028
kanagawa,ゆめが丘,139.482192,35.405436
kanagawa,センター北,139.5784215,35.553532000000004
kanagawa,センター南,139.57430799999997,35.5456695
kanagawa,七里ヶ浜,139.510101,35.306243
kanagawa,三ツ境,139.502662,35.467779
kanagawa,三ツ沢上町,139.605395,35.476526
kanagawa,三ツ沢下町,139.61481,35.476512
kanagawa,三崎口,139.633207,35.177515
kanagawa,三浦海岸,139.653138,35.188084
kanagawa,三軒茶屋,139.670156,35.643716
kanagawa,三鷹,139.560325,35.702683
kanagawa,上中里,139.745769,35.74728
kanagawa,上大井,139.163508,35.321883
kanagawa,上大岡,139.5962265,35.4090815
kanagawa,上尾,139.588434,35.973522
kanagawa,上強羅,139.038056,35.247306
kanagawa,上星川,139.580078,35.467694
kanagawa,上永谷,139.572713,35.401391
kanagawa,上溝,139.36315,35.557623
kanagawa,上野,139.77706275,35.713213
kanagawa,上野毛,139.638917,35.611957
kanagawa,下北沢,139.667213,35.661597
kanagawa,下曽我,139.183395,35.303554
kanagawa,下永谷,139.559389,35.402677
kanagawa,下溝,139.380428,35.518516
kanagawa,下神明,139.726256,35.608704
kanagawa,下飯田,139.483195,35.403503
kanagawa,不動前,139.71469,35.626526
kanagawa,与野本町,139.626075,35.880968
kanagawa,世田谷代田,139.661557,35.65834
kanagawa,並木中央,139.642945,35.365505
kanagawa,並木北,139.642743,35.372015
kanagawa,中央林間,139.44452,35.5078685
kanagawa,中山,139.540006,35.514887
kanagawa,中川,139.569846,35.562973
kanagawa,中延,139.713131,35.6057395
kanagawa,中強羅,139.040556,35.248167
kanagawa,中浦和,139.6375,35.853769
kanagawa,中田,139.511301,35.411161
kanagawa,中目黒,139.698621,35.643854
kanagawa,中野,139.665835,35.705765
kanagawa,中野島,139.5501,35.630135
kanagawa,久喜,139.67727,36.065684
kanagawa,久地,139.592714,35.610363
kanagawa,久里浜,139.700862,35.233107
kanagawa,九品仏,139.660992,35.60538
kanagawa,二俣川,139.532207,35.463335
kanagawa,二子新地,139.622338,35.606994
kanagawa,二子玉川,139.626685,35.611788
kanagawa,二宮,139.256925,35.298644
kanagawa,五月台,139.493542,35.600174
kanagawa,五百羅漢,139.155758,35.27519
kanagawa,井土ヶ谷,139.60061,35.433895
kanagawa,井細田,139.157397,35.268964
kanagawa,井野,140.148497,35.732605
kanagawa,京急久里浜,139.702139,35.231332
kanagawa,京急大津,139.695334,35.261068
kanagawa,京急富岡,139.629772,35.366743
kanagawa,京急川崎,139.700893,35.53285
kanagawa,京急新子安,139.655848,35.487242
kanagawa,京急東神奈川,139.634669,35.477412
kanagawa,京急田浦,139.625252,35.300892
kanagawa,京急蒲田,139.723681,35.560796
kanagawa,京急長沢,139.674048,35.20548
kanagawa,京急鶴見,139.677743,35.507032
kanagawa,京王よみうりランド,139.517597,35.632934
kanagawa,京王堀之内,139.400314,35.624438
kanagawa,京王多摩センター,139.42402,35.62518
kanagawa,京王多摩川,139.536606,35.644499
kanagawa,京王永山,139.448204,35.630102
kanagawa,京王稲田堤,139.531099,35.633895
kanagawa,代々木,139.70191666666668,35.68311333333333
kanagawa,代々木上原,139.680153,35.669159
kanagawa,代々木八幡,139.688913,35.669715
kanagawa,代官山,139.703284,35.648193
kanagawa,仲町台,139.589715,35.535258
kanagawa,伊勢佐木長者町,139.633176,35.441044
kanagawa,伊勢原,139.313768,35.396081
kanagawa,保土ケ谷,139.599671,35.446746
kanagawa,信濃町,139.720729,35.680031
kanagawa,倉見,139.378422,35.395098
kanagawa,倉賀野,,
kanagawa,元住吉,139.654668,35.565698
kanagawa,元町・中華街,139.650446,35.44243
kanagawa,入生田,139.121244,35.240894
kanagawa,入谷,139.5879185,35.59917
kanagawa,八丁畷,139.691396,35.5230625
kanagawa,八景島,139.64079,35.340914
kanagawa,八王子,139.338998,35.655555
kanagawa,八王子みなみ野,139.330678,35.630664
kanagawa,公園上,139.043167,35.249083
kanagawa,公園下,139.045639,35.249944
kanagawa,六会日大前,139.470665,35.383761
kanagawa,六浦,139.611532,35.32269
kanagawa,六郷土手,139.7076,35.540577
kanagawa,分倍河原,139.468798,35.668493
kanagawa,前橋,,
kanagawa,北上尾,139.577223,35.985632
kanagawa,北与野,139.628521,35.890678
kanagawa,北久里浜,139.686368,35.249355
kanagawa,北千束,139.693303,35.606311
kanagawa,北品川,139.739191,35.622458
kanagawa,北山田,139.592258,35.561077
kanagawa,北戸田,139.661201,35.826883
kanagawa,北新横浜,139.612818,35.519271
kanagawa,北本,139.533591,36.032112
kanagawa,北茅ケ崎,139.407569,35.339167
kanagawa,北赤羽,139.70569,35.787007
kanagawa,北鎌倉,139.545134,35.337198
kanagawa,北鴻巣,139.476894,36.085529
kanagawa,十日市場,139.51669,35.526254
kanagawa,十条,139.722233,35.760321
kanagawa,千歳船橋,139.624544,35.647616
kanagawa,千駄ケ谷,139.711644,35.681231
kanagawa,南万騎が原,139.526344,35.452522
kanagawa,南与野,139.631117,35.867456
kanagawa,南多摩,139.489781,35.649249
kanagawa,南大沢,139.3798,35.6141
kanagawa,南太田,139.613408,35.436923
kanagawa,南新宿,139.69867,35.683483
kanagawa,南林間,139.447911,35.495627
kanagawa,南橋本,139.352484,35.58042
kanagawa,南町田グランベリーパーク,139.470318,35.511502
kanagawa,南部市場,139.633163,35.380192
kanagawa,厚木,139.3782635,35.4434155
kanagawa,原当麻,139.375355,35.528978
kanagawa,参宮橋,139.693568,35.678586
kanagawa,反町,139.625337,35.47474
kanagawa,古河,139.709726,36.194375
kanagawa,古淵,139.419151,35.556055
kanagawa,吉祥寺,139.5798732,35.7029534
kanagawa,吉野町,139.618455,35.435489
kanagawa,向ヶ丘遊園,139.564719,35.617273
kanagawa,向河原,139.66725,35.572891
kanagawa,吹上,139.45312,36.103062
kanagawa,和泉多摩川,139.573695,35.627349
kanagawa,和田塚,139.545362,35.31372
kanagawa,和田河原,139.118684,35.31585
kanagawa,和田町,139.586786,35.463597
kanagawa,品川,139.7388475,35.62868066666667
kanagawa,唐木田,139.411622,35.616672
kanagawa,善行,139.473199,35.36285
kanagawa,喜多見,139.587445,35.636697
kanagawa,四ツ谷,139.7302858,35.6857482
kanagawa,国分寺,139.48058220000001,35.7002656
kanagawa,国府津,139.212932,35.280832
kanagawa,国立,139.44634,35.69923
kanagawa,国道,139.675599,35.50083
kanagawa,土呂,139.63214,35.931997
kanagawa,堀ノ内,139.686932,35.26322
kanagawa,塔ノ沢,139.094016,35.234521
kanagawa,塚原,139.126632,35.301305
kanagawa,多摩境,139.366987,35.601826
kanagawa,多摩川,139.668723,35.589591
kanagawa,大久保,139.69732,35.700784
kanagawa,大井町,139.73496666666668,35.607109
kanagawa,大倉山,139.629808,35.52243
kanagawa,大口,139.646288,35.492375
